"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","GetUser_WithNoApiKey_Returns401","","Thu Feb 26 04:26:02 UTC 2026","passed","Thu Feb 26 04:26:02 UTC 2026","","Smoke","AuthNegativeSmokeTests","GetUser_WithNoApiKey_Returns401"
"","102","RegisterWebhook_WithPrivateRange10_IsRejectedWith4xx","","Thu Feb 26 04:26:10 UTC 2026","passed","Thu Feb 26 04:26:10 UTC 2026","","Smoke","WebhookSmokeTests","RegisterWebhook_WithPrivateRange10_IsRejectedWith4xx"
"","99","SubmitTranscript_WithNonYouTubeUrl_Returns4xxWithError","","Thu Feb 26 04:26:03 UTC 2026","passed","Thu Feb 26 04:26:03 UTC 2026","","Smoke","ValidationNegativeSmokeTests","SubmitTranscript_WithNonYouTubeUrl_Returns4xxWithError"
"","114","GetBalance_ReturnsHttp200","","Thu Feb 26 04:26:02 UTC 2026","passed","Thu Feb 26 04:26:02 UTC 2026","","Smoke","CreditsBalanceSmokeTests","GetBalance_ReturnsHttp200"
"","114","SubmitTranscript_WithEmptyUrlList_Returns4xxWithError","","Thu Feb 26 04:26:03 UTC 2026","passed","Thu Feb 26 04:26:03 UTC 2026","","Smoke","ValidationNegativeSmokeTests","SubmitTranscript_WithEmptyUrlList_Returns4xxWithError"
"","143","RegisterWebhook_WithValidUrl_Returns201AndWebhookId","","Thu Feb 26 04:26:10 UTC 2026","passed","Thu Feb 26 04:26:10 UTC 2026","","Smoke","WebhookSmokeTests","RegisterWebhook_WithValidUrl_Returns201AndWebhookId"
"","108","GetUser_ReturnsUserId","","Thu Feb 26 04:26:03 UTC 2026","passed","Thu Feb 26 04:26:03 UTC 2026","","Smoke","UserSmokeTests","GetUser_ReturnsUserId"
"","97","GetAvailableEvents_ReturnsHttp200WithNonEmptyList","","Thu Feb 26 04:26:10 UTC 2026","passed","Thu Feb 26 04:26:10 UTC 2026","","Smoke","WebhookSmokeTests","GetAvailableEvents_ReturnsHttp200WithNonEmptyList"
"","139","GetPlans_ReturnsNonEmptyPlansList","","Thu Feb 26 04:26:03 UTC 2026","passed","Thu Feb 26 04:26:03 UTC 2026","","Smoke","PlansSmokeTests","GetPlans_ReturnsNonEmptyPlansList"
"","109","GetPlans_ReturnsHttp200","","Thu Feb 26 04:26:02 UTC 2026","passed","Thu Feb 26 04:26:03 UTC 2026","","Smoke","PlansSmokeTests","GetPlans_ReturnsHttp200"
"","2932","CreditsPage_LoadsWithBalance","","Thu Feb 26 04:26:03 UTC 2026","passed","Thu Feb 26 04:26:06 UTC 2026","","Smoke","UiSmokeTests","CreditsPage_LoadsWithBalance"
"","2203","NavigationHeader_CreditsLink_NavigatesToCreditsPage","","Thu Feb 26 04:26:06 UTC 2026","passed","Thu Feb 26 04:26:08 UTC 2026","","Smoke","UiSmokeTests","NavigationHeader_CreditsLink_NavigatesToCreditsPage"
"","325","GetBalance_WithInvalidApiKey_Returns401","","Thu Feb 26 04:26:02 UTC 2026","passed","Thu Feb 26 04:26:02 UTC 2026","","Smoke","AuthNegativeSmokeTests","GetBalance_WithInvalidApiKey_Returns401"
"","200","RegisterWebhook_WithLocalhostUrl_IsRejectedWith4xx","","Thu Feb 26 04:26:10 UTC 2026","passed","Thu Feb 26 04:26:10 UTC 2026","","Smoke","WebhookSmokeTests","RegisterWebhook_WithLocalhostUrl_IsRejectedWith4xx"
"","115","GetBalance_WithNoApiKey_Returns401","","Thu Feb 26 04:26:02 UTC 2026","passed","Thu Feb 26 04:26:02 UTC 2026","","Smoke","AuthNegativeSmokeTests","GetBalance_WithNoApiKey_Returns401"
"","102","GetUser_ReturnsEmail","","Thu Feb 26 04:26:03 UTC 2026","passed","Thu Feb 26 04:26:03 UTC 2026","","Smoke","UserSmokeTests","GetUser_ReturnsEmail"
"","1192","PricingPage_ShowsAtLeastTwoPlans","","Thu Feb 26 04:26:08 UTC 2026","passed","Thu Feb 26 04:26:10 UTC 2026","","Smoke","UiSmokeTests","PricingPage_ShowsAtLeastTwoPlans"
"","102","GetBalance_ReturnsPlanName","","Thu Feb 26 04:26:02 UTC 2026","passed","Thu Feb 26 04:26:02 UTC 2026","","Smoke","CreditsBalanceSmokeTests","GetBalance_ReturnsPlanName"
"","97","GetUser_ReturnsHttp200","","Thu Feb 26 04:26:03 UTC 2026","passed","Thu Feb 26 04:26:03 UTC 2026","","Smoke","UserSmokeTests","GetUser_ReturnsHttp200"
"","104","GetBalance_ReturnsNumericBalance","","Thu Feb 26 04:26:02 UTC 2026","passed","Thu Feb 26 04:26:02 UTC 2026","","Smoke","CreditsBalanceSmokeTests","GetBalance_ReturnsNumericBalance"
"","98","RegisterWebhook_WithPrivateRange192_IsRejectedWith4xx","","Thu Feb 26 04:26:10 UTC 2026","passed","Thu Feb 26 04:26:10 UTC 2026","","Smoke","WebhookSmokeTests","RegisterWebhook_WithPrivateRange192_IsRejectedWith4xx"
"","94","GetUser_ReturnsPlanDetails","","Thu Feb 26 04:26:03 UTC 2026","passed","Thu Feb 26 04:26:03 UTC 2026","","Smoke","UserSmokeTests","GetUser_ReturnsPlanDetails"
"","205","ListWebhooks_AfterRegister_ContainsRegisteredWebhook","","Thu Feb 26 04:26:10 UTC 2026","passed","Thu Feb 26 04:26:10 UTC 2026","","Smoke","WebhookSmokeTests","ListWebhooks_AfterRegister_ContainsRegisteredWebhook"
